Date,ACA.PA,AI.PA,AIR.PA,ALO.PA,BN.PA,BNP.PA,CA.PA,CAP.PA,CS.PA,DG.PA,DSY.PA,EDEN.PA,EL.PA,EN.PA,ENGI.PA,ERF.PA,GLE.PA,HO.PA,KER.PA,LR.PA,MC.PA,ML.PA,MT.AS,OR.PA,ORA.PA,PUB.PA,RI.PA,RMS.PA,RNO.PA,SAF.PA,SAN.PA,SGO.PA,STLAP.PA,STMPA.PA,SU.PA,TEP.PA,TTE.PA,URW.PA,VIE.PA,WLN.PA
2000-02-22,,757659.0,,,6217009.0,5930354.0,2587872.0,409848.0,10065007.0,919282.0,5135750.0,,1214175.0,13246300.0,3828000.0,1209000.0,1275525.0,224011.0,357323.0,,1208000.0,4214159.0,,814690.0,1397910.0,,473117.0,39897.0,1065542.0,891300.0,1395944.0,2268220.0,,,802281.0,897963.0,5069152.0,,,
2000-02-23,,934085.0,,,1663806.0,4931393.0,2564994.0,250522.0,9888420.0,386045.0,1940010.0,,1231834.0,7344000.0,2579500.0,1101000.0,1828211.0,237710.0,185945.0,,1003730.0,3345633.0,,660270.0,1318264.0,,245819.0,69696.0,982697.0,959475.0,1286053.0,1875380.0,,,679982.0,332990.0,6743000.0,,,
2000-02-24,,836762.0,,,2633885.0,6504192.0,2790324.0,521553.0,11912898.0,1386835.0,1585950.0,,623949.0,8622600.0,1931500.0,734000.0,1872673.0,181685.0,223114.0,,1268805.0,2364842.0,,907990.0,1805150.0,,333822.0,57138.0,1441721.0,1128300.0,1706195.0,1190336.0,,,1109210.0,425279.0,3835672.0,,,
2000-02-25,,2017174.0,,,16930912.0,13686986.0,4707810.0,306823.0,21124703.0,1269904.0,2403200.0,,1553701.0,4451400.0,4276500.0,1236000.0,2472136.0,905425.0,773874.0,,842805.0,1800054.0,,2189170.0,2135146.0,,180509.0,67137.0,2283356.0,3037800.0,6339821.0,789928.0,,,1972208.0,272372.0,11310848.0,,,
2000-02-28,,1534612.0,,,3017670.0,7681417.0,3362946.0,253021.0,18035535.0,555787.0,1780730.0,,972427.0,7971600.0,3370000.0,4652000.0,1683148.0,292221.0,311453.0,,1549300.0,2626015.0,,1357740.0,2833473.0,,217251.0,46977.0,1140857.0,974025.0,1516902.0,1114080.0,,,1503495.0,154950.0,6293060.0,,,
2000-02-29,,2523165.0,,,5879345.0,7092649.0,4689362.0,1585282.0,15163887.0,324947.0,2136160.0,,736075.0,7572700.0,3879500.0,2316000.0,2763973.0,329762.0,358554.0,,901905.0,3196851.0,,1229400.0,2201825.0,,289510.0,68526.0,882337.0,491250.0,1901514.0,1772232.0,,,1564565.0,423167.0,6860536.0,,,
2000-03-01,,1624178.0,,,9535839.0,4476012.0,1932456.0,892821.0,14282651.0,1265231.0,2892150.0,,919859.0,13760400.0,3367500.0,4478000.0,1737048.0,287604.0,207400.0,,730665.0,2090483.0,,697740.0,2052320.0,,376642.0,23763.0,822618.0,1590900.0,901705.0,1629964.0,,,2294713.0,1452788.0,5397200.0,,,
2000-03-02,,1513819.0,,,3603506.0,4865163.0,1370632.0,575406.0,12862119.0,823858.0,1382640.0,,553477.0,13321800.0,3469500.0,2780000.0,785585.0,363508.0,216408.0,,801500.0,2339047.0,,671670.0,5203531.0,,1700347.0,70377.0,516641.0,1086600.0,1091983.0,1489728.0,,,1546069.0,976834.0,5222812.0,,,
2000-03-03,,1448200.0,,,5150942.0,12559745.0,976322.0,406388.0,15719350.0,709648.0,1362220.0,,1006805.0,18994900.0,4731000.0,991000.0,2020812.0,144424.0,337965.0,,1242345.0,2946486.0,,1157590.0,4283302.0,,598272.0,82797.0,763516.0,918525.0,918757.0,974028.0,,,942167.0,399942.0,4386556.0,,,
2000-03-06,,1484576.0,,,2019258.0,11654700.0,1160918.0,415670.0,11577057.0,373839.0,1638440.0,,532588.0,5706700.0,7053500.0,1065000.0,907340.0,512840.0,374795.0,,1451610.0,2039924.0,,661340.0,2188746.0,,302895.0,39672.0,765829.0,2067300.0,737584.0,1681688.0,,,622723.0,784560.0,2437492.0,,,
